ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short Description",Description,"Date sale price starts","Date sale price ends","Tax Status","Tax Class","In stock?","Backorders allowed?","Sold individually?","Weight (unit)","Length (unit)","Width (unit)","Height (unit)","Allow customer reviews?","Purchase Note",Price,"Regular Price",Stock,Categories,Tags,"Shipping Class",Images,"Download Limit","Download Expiry Days",Parent,Upsells,Cross-sells,Position,"Attribute 1 Name","Attribute 1 Value(s)","Attribute 1 Visible","Attribute 1 Global","Attribute 2 Name","Attribute 2 Value(s)","Attribute 2 Visible","Attribute 2 Global","Attribute 3 Name","Attribute 3 Value(s)","Attribute 3 Visible","Attribute 3 Global","Attribute 4 Name","Attribute 4 Value(s)","Attribute 4 Visible","Attribute 4 Global","Attribute 5 Name","Attribute 5 Value(s)","Attribute 5 Visible","Attribute 5 Global","Attribute 6 Name","Attribute 6 Value(s)","Attribute 6 Visible","Attribute 6 Global","Attribute 7 Name","Attribute 7 Value(s)","Attribute 7 Visible","Attribute 7 Global","Attribute 8 Name","Attribute 8 Value(s)","Attribute 8 Visible","Attribute 8 Global"
,simple,579537,"Кросівки Affinity 1007-260 М 579537 Бежеві",1,0,visible,,"Розмірність моделі: повноміркиВерх: нубукПідошва: поліуретанКолір: бежевийВиробник: Україна, Харків
Розмірна таблиця:Довжина по устілці
40 розмір 26 см41 розмір 27 см42 розмір 28 см43 розмір 28,5 см44 розмір 29 см45 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,2025,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12971/krossovki-affinity-1007-260-m-579537-bezhevye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12971/krossovki-affinity-1007-260-m-579537-bezhevye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12971/krossovki-affinity-1007-260-m-579537-bezhevye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12971/krossovki-affinity-1007-260-m-579537-bezhevye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12971/krossovki-affinity-1007-260-m-579537-bezhevye-5-1080x1080.webp",,,,,,0,id,12971,1,0,Розмір,"40, 41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Літо 2021",1,0,Країна,"Україна Харків",1,0,Виробник,Affinity,1,0,Видео,https://www.youtube.com/watch?v=t0tFRbwrFAs,1,0,Бренд,Affinity,1,0
,simple,579518,"Кросівки Cuddos 61 М 579518 Чорні",1,0,visible,,"Розмірність моделі: повноміркиВерх: натуральна шкіраПідошва: поліуретанКолір: чорнийВиробник: Україна, Харків
Розмірна таблиця:Довжина по устілці
40 розмір 26 см41 розмір 27 см42 розмір 28 см43 розмір 28,5 см44 розмір 29 см45 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,2025,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12969/krossovki-cuddos-61-m-579518-chernye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12969/krossovki-cuddos-61-m-579518-chernye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12969/krossovki-cuddos-61-m-579518-chernye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12969/krossovki-cuddos-61-m-579518-chernye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12969/krossovki-cuddos-61-m-579518-chernye-5-1080x1080.webp",,,,,,0,id,12969,1,0,Розмір,"40, 41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Літо 2021",1,0,Країна,"Україна Харків",1,0,Виробник,Cuddos,1,0,Видео,https://www.youtube.com/watch?v=rWuYNBXTYdQ,1,0,Бренд,Cuddos,1,0
,simple,579519,"Кеди Cuddos 37 М 579519 Чорні",1,0,visible,,"Розмірність моделі: повноміркиВерх: натуральна шкіраПідошва: поліуретанКолір: чорнийВиробник: Україна, Харків
Розмірна таблиця:Довжина по устілці
40 розмір 26 см41 розмір 27 см42 розмір 28 см43 розмір 28,5 см44 розмір 29 см45 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,2025,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12970/kedy-cuddos-37-m-579519-chernye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12970/kedy-cuddos-37-m-579519-chernye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12970/kedy-cuddos-37-m-579519-chernye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12970/kedy-cuddos-37-m-579519-chernye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12970/kedy-cuddos-37-m-579519-chernye-5-1080x1080.webp",,,,,,0,id,12970,1,0,Розмір,"40, 41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Літо 2021",1,0,Країна,"Україна Харків",1,0,Виробник,Cuddos,1,0,Видео,https://www.youtube.com/watch?v=P47Q6poTuX4,1,0,Бренд,Cuddos,1,0
,simple,578924,"Кеди Cuddos 37 М 578924 Чорні",1,0,visible,,"Розмірність моделі: повноміркиВерх: натуральна шкіраПідошва: поліуретанКолір: чорніВиробник: Україна, Харків
Розмірна таблиця:Довжина по устілці
39 розмір 25,5 см40 розмір 26 см41 розмір 27 см42 розмір 28 см43 розмір 28,5 см44 розмір 29 см45 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,2025,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-9-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-5-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-6-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-7-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-8-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12511/kedy-cuddos-37-m-578924-chernye-10-1080x1080.webp",,,,,,0,id,12511,1,0,Розмір,"40, 41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Весна 2021",1,0,Країна,"Україна Харків",1,0,Виробник,Cuddos,1,0,Видео,https://www.youtube.com/watch?v=BM70WmAL9UA,1,0,Бренд,Cuddos,1,0
,simple,578944,"Кеди Cuddos 37 М 578944 Білі",1,0,visible,,"Розмірність моделі: повноміркиВерх: натуральна шкіраПідошва: поліуретанКолір: білийВиробник: Україна, Харків
Розмірна таблиця:Довжина по устілці
39 розмір 25,5 см40 розмір 26 см41 розмір 27 см42 розмір 28 см43 розмір 28,5 см44 розмір 29 см45 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,2025,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-5-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-6-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-7-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-8-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-9-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12521/kedy-cuddos-37-m-578944-belye-10-1080x1080.webp",,,,,,0,id,12521,1,0,Розмір,"43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Весна 2021",1,0,Країна,"Україна Харків",1,0,Виробник,Cuddos,1,0,Видео,https://www.youtube.com/watch?v=Oga1EEwsrtI,1,0,Бренд,Cuddos,1,0
,simple,578923,"Кеди Cuddos 37 М 578923 Чорні",1,0,visible,,"Розмірність моделі: повноміркиВерх: натуральна шкіраПідошва: поліуретанКолір: чорніВиробник: Україна, Харків
Розмірна таблиця:
40 розмір 26 см41 розмір 27 см42 розмір 28 см43 розмір 28,5 см44 розмір 29 см45 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,2025,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-6-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-5-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-7-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-8-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-9-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-10-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12510/kedy-cuddos-37-m-578923-chernye-11-1080x1080.webp",,,,,,0,id,12510,1,0,Розмір,"40, 41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Весна 2021",1,0,Країна,"Україна Харків",1,0,Виробник,Cuddos,1,0,Видео,https://www.youtube.com/watch?v=0CsBZiqPPWc,1,0,Бренд,Cuddos,1,0
,simple,579517,"Кросівки BaaS 7061-7 М 579517 Сірі",1,0,visible,,"Розмірність моделі: маломіркиВерх: сіткаПідошва: пінкаКолір: сірийВиробник: В'єтнам
Розмірна таблиця:Довжина по устілці
41 розмір 26 см42 розмір 27 см43 розмір 28 см44 розмір 28,5 см45 розмір 29 см46 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,1185,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-9-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-8-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-7-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-6-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12968/krossovki-baas-7061-7-m-579517-serye-5-1080x1080.webp",,,,,,0,id,12968,1,0,Розмір,"41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Сітка 2021",1,0,Країна,В'єтнам,1,0,Виробник,BaaS,1,0,Видео,https://www.youtube.com/watch?v=XGYH3_hZ7Uw,1,0,Бренд,BaaS,1,0
,simple,579247,"Кросівки BaaS 7061-1 М 579247 Чорні",1,0,visible,,"Розмірність моделі: маломіркиВерх: сіткаПідошва: пінкаКолір: чорнийВиробник: В'єтнам
Розмірна таблиця:Довжина по устілці
41 розмір 26 см42 розмір 27 см43 розмір 28 см44 розмір 28,5 см45 розмір 29 см46 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,1185,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12812/krossovki-baas-7061-1-m-579247-chernye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12812/krossovki-baas-7061-1-m-579247-chernye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12812/krossovki-baas-7061-1-m-579247-chernye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12812/krossovki-baas-7061-1-m-579247-chernye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12812/krossovki-baas-7061-1-m-579247-chernye-5-1080x1080.webp",,,,,,0,id,12812,1,0,Розмір,"41, 42, 43, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Сітка 2021",1,0,Країна,В'єтнам,1,0,Виробник,BaaS,1,0,Видео,https://www.youtube.com/watch?v=pO_c9SppaRU,1,0,Бренд,BaaS,1,0
,simple,579248,"Кросівки BaaS 7061-2 М 579248 Сірі",1,0,visible,,"Розмірність моделі: маломіркиВерх: сіткаПідошва: пінкаКолір: сірийВиробник: В'єтнам
Розмірна таблиця:Довжина по устілці
41 розмір 26 см42 розмір 27 см43 розмір 28 см44 розмір 28,5 см45 розмір 29 см46 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,1185,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-7-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-8-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-9-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-6-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12769/krossovki-baas-7061-2-m-579248-serye-5-1080x1080.webp",,,,,,0,id,12769,1,0,Розмір,"42, 44, 45",1,0,Стать,Чоловічий,1,0,Сезон,"Сітка 2021",1,0,Країна,В'єтнам,1,0,Виробник,BaaS,1,0,Видео,https://www.youtube.com/watch?v=rGet3nlgBKs,1,0,Бренд,BaaS,1,0
,simple,579484,"Кросівки BaaS 7097-2 М 579484 Сірі",1,0,visible,,"Розмірність моделі: маломіркиВерх: сіткаПідошва: пінкаКолір: сірийВиробник: В'єтнам
Розмірна таблиця:Довжина по устілці
41 розмір 26 см42 розмір 27 см43 розмір 28 см44 розмір 28,5 см45 розмір 29 см46 розмір 30 см
",,,taxable,standard,1,0,0,,,,,1,,,1185,,"Чоловіче взуття > Кросівки",,,"https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-1-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-6-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-7-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-8-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-2-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-3-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-4-1080x1080.webp, https://sezon.ua/image/cache/webp/catalog/image/easyfoto/12965/krossovki-baas-7097-2-m-579484-serye-5-1080x1080.webp",,,,,,0,id,12965,1,0,Розмір,"41, 42, 43, 44, 45, 46",1,0,Стать,Чоловічий,1,0,Сезон,"Сітка 2021",1,0,Країна,В'єтнам,1,0,Виробник,BaaS,1,0,Видео,https://www.youtube.com/watch?v=c3J2P3xGsZM,1,0,Бренд,BaaS,1,0
